Epoch	Averagefailure_rate	Stdfailure_rate	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	AverageTestEpCost	StdTestEpCost	MaxTestEpCost	MinTestEpCost	EpLen	TestEpLen	EpGoals	TestEpGoals	CumulativeCost	CostRate	TotalEnvInteracts	AverageQR1Vals	StdQR1Vals	MaxQR1Vals	MinQR1Vals	AverageQR2Vals	StdQR2Vals	MaxQR2Vals	MinQR2Vals	AverageQCVals	StdQCVals	MaxQCVals	MinQCVals	AverageQCVar	StdQCVar	MaxQCVar	MinQCVar	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQR1	LossQR2	LossQC	LossQCVar	LossAlpha	LogAlpha	Alpha	LossBeta	LogBeta	Beta	PiEntropy	TestTime	EpochTime	TotalTime
1	0.6	0.06236096	-3.5848186	4.4077144	4.885949	-12.557964	1.0728245	2.6274726	10.822593	-4.9907327	21.5	29.743347	115.0	0.0	73.125	161.93071	934.0	0.0	1000.0	1000.0	0.33333334	0.81666666	539.0	0.01078	25004.0	2.0951655	1.4134818	4.745508	-6.088176	2.0086823	1.5144712	4.738414	-6.11545	-0.014398224	1.6843631	28.316397	-2.7931762	0.63683885	0.6847869	22.007734	0.018606879	-0.21606524	1.7662337	18.35463	-11.016262	-13.626545	0.12523861	0.09739075	0.02695723	0.06928632	0.5640109	-1.8654066	0.22368263	0.096807614	-7.0691357	0.04960091	0.21606524	24.09119	125.84994	126.61165928840637
2	0.28333333	0.05	-2.6647346	3.4987125	1.9605056	-8.787318	-1.7282659	5.9196115	10.191773	-25.57238	53.291668	95.601814	423.0	0.0	56.491665	139.78537	817.0	0.0	1000.0	1000.0	0.20833333	0.46666667	2005.0	0.026733333333333335	50004.0	1.4514408	1.8958923	4.6076612	-6.036667	1.4514292	1.8958877	4.6220984	-5.978033	1.1881273	2.6304913	27.378723	-3.0733109	0.64459866	1.1148117	19.7516	0.005727784	0.7184107	2.7003691	32.740173	-11.002195	-2.631443	0.0044668433	0.004480331	0.029701577	0.17169872	0.02237954	-4.4676447	0.013457128	9.5209125e-06	-9.694009	6.8214445e-05	-0.7184108	23.691319	131.70474	258.2937319278717
3	0.13333334	0.023570228	-0.5595328	2.0645797	3.2302067	-5.30457	-3.3495102	2.1950798	0.6873399	-7.130125	82.416664	111.73292	399.0	0.0	19.6	75.5776	587.0	0.0	1000.0	1000.0	0.25	0.041666668	3810.0	0.0381	75004.0	0.7186059	1.4166512	2.9341862	-5.85998	0.7185964	1.4166232	2.959883	-5.885078	1.5058374	2.7579658	26.487785	-7.182921	0.5388453	1.1792215	26.875471	0.00049245154	1.9740915	3.9015129	43.539356	-10.516001	0.5476107	0.0019227301	0.001962541	0.036062412	0.19683062	0.00014193039	-5.2820134	0.005133238	3.5745884e-07	-11.134917	1.7501809e-05	-1.9740915	23.371479	129.8028	388.2441966533661
4	0.3333333	0.08498366	-2.172335	2.9943979	1.1753505	-11.412305	-0.42194158	1.32074	2.88737	-5.1263404	26.071428	86.94166	461.0	0.0	66.975	159.50906	882.0	0.0	1000.0	1000.0	0.10714286	0.11666667	4503.0	0.036024	100004.0	0.18330814	1.1176804	1.9866523	-5.9866414	0.18330482	1.1176884	1.9853574	-6.03242	1.4438034	2.93202	31.819347	-12.116941	0.6412764	1.3920832	28.55153	9.142934e-05	1.9784449	4.085841	71.990524	-11.672401	0.6598229	0.0012070534	0.0012092515	0.039539065	0.20594777	9.940488e-05	-5.302315	0.005069037	5.243612e-08	-14.308611	9.205015e-07	-1.9784449	23.807598	132.1245	520.2027666568756
5	0.1	0.047140453	0.9679324	2.0736558	4.3566704	-3.1625867	-2.2583194	2.5926461	4.8239202	-8.038498	83.291664	182.23781	851.0	0.0	12.333333	47.782722	348.0	0.0	1000.0	1000.0	0.7083333	0.108333334	6527.0	0.043513333333333334	125004.0	-0.2519806	0.97046643	1.2775975	-5.448368	-0.25196502	0.9704621	1.3360313	-5.4979544	1.5303421	2.7272348	37.579563	-12.203231	0.60289	1.3500578	32.734367	6.782779e-05	2.0001597	4.234485	56.63375	-10.623152	1.5153413	0.00094725884	0.0009557704	0.04408059	0.21601495	2.3950839e-05	-5.4006805	0.004575449	1.2137913e-09	-17.001207	5.4742344e-08	-2.0001597	23.8881	129.68701	649.8889698982239
6	0.30833334	0.08620067	0.2748939	1.8034246	3.7471526	-2.3385706	0.38689834	1.2607104	5.7359447	-1.9898481	33.833332	57.932198	212.0	0.0	79.61667	201.70953	936.0	0.0	1000.0	1000.0	0.5416667	0.31666666	7314.0	0.041794285714285714	150004.0	-0.5576282	0.8714955	0.9079857	-5.503354	-0.5576076	0.87150097	0.907058	-5.533749	1.5727117	2.7845428	35.34641	-13.554107	0.6169894	1.5377154	32.525578	6.377493e-05	2.0090835	4.598923	62.30375	-13.482864	1.7940913	0.000815882	0.00082287774	0.048366237	0.22918926	-2.0778189e-05	-5.3644295	0.004740167	5.011857e-10	-18.0168	1.4976223e-08	-2.0090835	23.501522	131.1759	781.1803870201111
7	0.09166667	0.06400955	-0.12806225	1.9226313	3.6322384	-7.2435203	-0.07848246	1.3752052	5.2949677	-5.0955515	43.375	105.798874	428.0	0.0	11.333333	42.240845	271.0	0.0	1000.0	1000.0	0.29166666	0.25833333	8655.0	0.043275	175004.0	-0.7181135	0.8194971	0.67055464	-5.922363	-0.71809316	0.8195108	0.6718365	-6.0371675	1.5661213	2.7133975	30.356325	-19.024466	0.64403164	1.6513914	33.325474	4.458328e-05	1.9833647	4.586526	58.069267	-11.254327	1.9493954	0.0007347874	0.00073546474	0.054261155	0.23270574	8.294961e-05	-5.502667	0.0041408082	4.641755e-10	-18.0168	1.4976226e-08	-1.9833647	23.800335	130.01463	911.0830600261688
8	0.14166668	0.05464532	0.31680837	1.8629107	5.6559644	-1.8812046	0.271108	1.9850272	7.1934237	-2.8242579	39.714287	80.37051	308.0	0.0	33.516666	125.60799	791.0	0.0	1000.0	1000.0	0.5	0.51666665	9467.0	0.042075555555555554	200004.0	-0.8243246	0.79727	0.54373324	-5.564087	-0.82429206	0.7972842	0.49730337	-5.6661158	1.5747669	2.7900531	31.911385	-15.845348	0.65841264	1.7508552	34.077778	1.9073304e-05	2.0220015	4.7891808	74.8482	-13.178142	2.1021278	0.00080690824	0.0008198969	0.05440978	0.24303897	-8.073897e-05	-5.355651	0.004790608	5.329527e-10	-18.0168	1.4976223e-08	-2.0220013	23.770222	131.9047	1043.0039200782776
9	0.13333334	0.05270463	-0.1237826	1.545608	3.7543259	-2.4030344	0.116219535	2.1993992	8.628211	-4.6060605	7.25	20.400675	95.0	0.0	14.625	46.198315	340.0	0.0	1000.0	1000.0	0.33333334	0.5833333	9641.0	0.038564	225004.0	-0.95392257	0.8268703	0.3267182	-5.589101	-0.9538897	0.82688713	0.31256348	-5.632015	1.5908581	2.9671288	36.492016	-14.154995	0.68180835	1.8994237	37.400208	6.4372807e-06	1.9689368	4.582751	67.24351	-10.953965	2.841783	0.0008673345	0.0008676539	0.055683486	0.25569913	0.00015158743	-5.4795003	0.0042512342	3.3208983e-10	-18.0168	1.4976226e-08	-1.9689368	23.902895	130.37785	1173.366284608841
10	0.15833333	0.049300663	0.12328115	2.330437	4.541979	-4.6842957	-0.21910316	1.6041116	5.665007	-3.1097817	17.041666	54.410076	270.0	0.0	38.558334	138.57487	882.0	0.0	1000.0	1000.0	0.625	0.325	10097.0	0.03671636363636364	250004.0	-1.0607336	0.85493404	0.25045553	-5.879295	-1.060711	0.8549362	0.2109313	-6.039366	1.5463377	2.9252834	43.159233	-18.153347	0.73134345	2.0035448	53.73713	1.5497195e-06	1.9549768	4.892972	73.99238	-11.429974	2.5608037	0.00094211474	0.0009550469	0.057932176	0.25309137	0.00020829542	-5.3892145	0.004645551	5.3086185e-10	-18.0168	1.4976223e-08	-1.9549768	23.47855	131.63582	1305.1360831260681
